,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Science/Education, Documentary)"
so,21.799906279287722,0.6022101398107615,23.451463841617603,21.19769613947696,45.25137012090532,24.053673981428364
and,22.11321462043112,1.4548086428470555,1.6003861828153383,20.658405977584064,23.713600803246457,3.0551948256623938
but,10.63945641986879,0.9003318740290922,0.19467124645959544,11.539788293897882,10.444785173409194,1.0950031204886876
if,2.475773195876288,0.4947747493291912,2.681773973935032,2.970547945205479,5.15754716981132,2.1869992246058407
for,2.1322399250234305,0.14108176811184858,1.6606715026496701,1.991158156911582,0.4715684223737604,1.5195897345378215
when,5.5294283036551075,1.2176599350374238,0.7375569904308259,4.311768368617684,4.791871313224282,0.48010294460659786
then,2.6112464854732895,0.2039613049004374,0.27900996769158537,2.407285180572852,2.890256453164875,0.48297127259202277
with,2.1173383317713212,0.5568775596667139,1.5801756325285488,1.5604607721046073,0.5371626992427725,1.0232980728618348
also,0.3337394564198686,0.10729416749046772,0.8196659091663858,0.4410336239103363,0.48592645274651725,0.9269600766568535
as,2.1195407685098404,0.7251447535658806,2.469373425498503,1.3943960149439598,0.3498326569886627,1.7442286719326225
because,4.8983130271790065,0.012957209433695827,1.7835051546391754,4.911270236612702,6.681818181818182,1.7705479452054795
or,0.64203373945642,0.13306736336675629,0.1943723580398613,0.5089663760896637,0.44766138141655865,0.06130499467310502
once,0.8762886597938144,0.8762886597938144,0.4785203599944967,0.0,1.3548090197883111,1.3548090197883111
anyway,0.13978444236176202,0.8556701030927835,0.8556701030927835,0.9954545454545455,0.9954545454545455,0.0
still,1.3904404873477039,0.06242056206750457,0.4776094619534018,1.3280199252801992,0.9128310253943019,0.41518889988589724
before,0.9272727272727272,0.0,0.0,0.9272727272727272,0.9272727272727272,0.0
in fact,0.0,0.8767123287671232,0.0,0.8767123287671232,0.0,0.8767123287671232
next,0.0,0.7705479452054794,0.0,0.7705479452054794,0.0,0.7705479452054794
however,0.0,0.0,2.3359410952600093,0.0,2.3359410952600093,2.3359410952600093
after,0.0,0.0,1.9498389323515877,0.0,1.9498389323515877,1.9498389323515877
