,News,Discussion,Science/Education,Documentary,Presentation
and,125.19587628865979,274.8863636363636,139.8904109589041,155.24850437183616,67.08270297528996
so,46.597938144329895,91.95454545454545,45.42465753424658,14.439024390243903,14.884518406454866
for,36.855670103092784,61.03636363636364,36.321917808219176,49.39898757478141,13.069591527987898
but,29.4020618556701,70.87272727272727,28.756849315068493,36.32121491026231,11.818456883509834
with,25.88659793814433,49.68181818181818,26.839041095890412,38.11504832029453,11.193141704488148
if,18.927835051546392,29.963636363636365,16.335616438356166,12.228255867464336,6.741805345436208
as,18.061855670103093,30.96818181818182,19.595890410958905,35.42936033133916,8.044377206253152
or,17.288659793814432,28.363636363636363,19.184931506849313,16.115048320294523,6.246091780131114
because,12.608247422680412,43.1,12.42123287671233,0.0,5.390317700453858
then,10.360824742268042,22.40909090909091,11.051369863013699,7.506672802577082,3.8991427130610186
when,9.783505154639176,33.72727272727273,13.969178082191782,14.590427979751496,6.028240040342915
also,6.701030927835052,9.095454545454546,6.1438356164383565,7.148642429820525,2.594553706505295
next,4.041237113402062,0.0,3.76027397260274,5.402669121030833,0.0
still,3.6804123711340204,9.686363636363636,3.941780821917808,5.791992636907501,1.1870902672718104
before,3.2268041237113403,7.15,0.0,6.4123331799355725,1.286434694906707
after,0.0,6.177272727272728,4.773972602739726,11.487804878048781,1.3358547655068078
